2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:09:32,428 - INFO - ############Loading Model###########
2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ############Loading Model###########
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:11:04,091 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00163, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,092 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00164, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,092 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00165, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,093 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00166, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,093 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00167, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,094 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00168, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,094 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00169, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,095 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00170, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,095 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00171, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,096 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00172, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,096 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00173, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,097 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00174, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,097 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00175, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,098 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00176, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,098 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00177, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,099 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00178, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,099 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00179, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,100 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00180, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,100 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00181, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,101 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00182, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,101 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00183, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,102 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00184, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,102 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00185, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,103 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00186, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,103 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00187, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,104 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00188, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,104 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00189, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,105 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00190, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,105 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00191, setp 000, Reward 0.0  , 1,
